n_estimators,max_depth,learning_rate,subsample,reg_alpha,reg_lambda,val_rmse
100,5,0.1,0.8,0.1,2.0,1.5731
300,5,0.05,1.0,0.0,1.0,1.5741
300,3,0.01,0.8,0.0,2.0,1.5757
300,5,0.1,1.0,1.0,1.0,1.5762
200,5,0.1,1.0,1.0,1.0,1.5762
100,5,0.1,0.8,0.0,5.0,1.5775
100,5,0.05,0.8,0.0,2.0,1.5777
300,5,0.05,1.0,1.0,2.0,1.5783
300,5,0.05,0.8,1.0,2.0,1.579
100,5,0.05,1.0,0.1,5.0,1.5796
100,7,0.05,0.8,0.0,5.0,1.5805
300,3,0.01,0.8,0.1,2.0,1.5805
200,5,0.1,0.8,0.1,2.0,1.5809
300,5,0.1,0.8,0.1,2.0,1.5828
200,5,0.01,0.8,0.1,1.0,1.5846
100,3,0.05,1.0,0.1,5.0,1.585
300,7,0.1,0.8,0.1,2.0,1.5852
200,7,0.1,0.8,0.1,2.0,1.586
100,5,0.1,1.0,1.0,2.0,1.5868
300,5,0.05,1.0,0.0,5.0,1.5895
100,3,0.1,0.8,0.0,1.0,1.5898
300,5,0.1,1.0,1.0,2.0,1.5918
200,5,0.1,1.0,1.0,2.0,1.5918
300,3,0.05,0.8,0.0,2.0,1.592
200,5,0.05,1.0,0.0,5.0,1.5936
100,5,0.1,1.0,0.1,5.0,1.5983
300,3,0.1,1.0,0.1,5.0,1.5998
100,7,0.1,0.8,0.1,2.0,1.6003
300,3,0.01,0.8,1.0,2.0,1.6015
100,7,0.05,0.8,0.1,5.0,1.6018
200,7,0.1,1.0,0.0,5.0,1.6029
200,3,0.05,0.8,0.0,2.0,1.6042
200,3,0.01,0.8,0.0,1.0,1.6043
100,5,0.05,0.8,0.0,5.0,1.6043
100,3,0.1,0.8,1.0,2.0,1.6061
200,3,0.01,1.0,0.1,1.0,1.6077
100,5,0.05,1.0,0.0,1.0,1.6081
100,5,0.05,1.0,1.0,1.0,1.6108
200,3,0.01,1.0,0.0,1.0,1.6109
200,7,0.05,0.8,1.0,5.0,1.6151
200,5,0.05,0.8,0.0,2.0,1.6185
300,3,0.01,1.0,1.0,2.0,1.6186
300,5,0.01,0.8,0.1,2.0,1.6191
200,3,0.01,0.8,0.1,1.0,1.6197
300,5,0.05,1.0,1.0,1.0,1.6215
200,3,0.1,1.0,1.0,5.0,1.6216
100,3,0.1,0.8,0.0,2.0,1.6231
200,5,0.05,1.0,1.0,1.0,1.6234
300,7,0.05,0.8,1.0,5.0,1.625
300,3,0.01,1.0,1.0,5.0,1.6261
100,5,0.1,1.0,0.1,1.0,1.6265
100,3,0.1,0.8,0.1,5.0,1.6267
300,7,0.1,0.8,0.1,1.0,1.6294
200,7,0.1,0.8,0.1,1.0,1.6299
100,7,0.1,0.8,0.1,1.0,1.6312
100,7,0.1,0.8,0.1,5.0,1.6317
300,5,0.05,0.8,0.0,2.0,1.6324
100,3,0.05,0.8,0.0,2.0,1.6359
200,7,0.05,0.8,1.0,2.0,1.6364
300,3,0.01,0.8,0.0,5.0,1.6368
100,3,0.1,0.8,1.0,1.0,1.6393
200,3,0.01,1.0,1.0,1.0,1.6394
100,7,0.05,0.8,1.0,2.0,1.6468
300,5,0.1,1.0,0.1,1.0,1.6485
200,5,0.1,1.0,0.1,1.0,1.6489
300,5,0.01,0.8,0.0,2.0,1.6489
100,3,0.1,0.8,1.0,5.0,1.6512
100,7,0.1,0.8,0.0,5.0,1.6514
300,3,0.01,0.8,1.0,5.0,1.6523
200,5,0.05,1.0,0.1,1.0,1.6527
300,3,0.01,0.8,0.1,5.0,1.6541
300,7,0.05,0.8,1.0,2.0,1.6547
100,3,0.1,0.8,0.0,5.0,1.6563
200,3,0.1,1.0,0.0,5.0,1.6586
100,7,0.05,0.8,1.0,5.0,1.6594
200,3,0.1,0.8,1.0,2.0,1.6617
200,3,0.01,0.8,1.0,1.0,1.6628
300,5,0.01,0.8,1.0,1.0,1.6636
100,5,0.05,1.0,0.0,5.0,1.6637
300,3,0.1,1.0,0.0,5.0,1.6646
100,7,0.1,1.0,0.0,2.0,1.665
300,5,0.05,1.0,0.1,1.0,1.6653
100,7,0.1,1.0,1.0,1.0,1.6654
200,3,0.1,0.8,0.1,2.0,1.6656
200,7,0.1,1.0,1.0,1.0,1.6671
300,7,0.1,1.0,1.0,1.0,1.6671
300,3,0.1,1.0,1.0,5.0,1.6679
200,3,0.1,0.8,0.0,5.0,1.6684
100,5,0.1,1.0,0.1,2.0,1.6746
100,5,0.1,0.8,1.0,2.0,1.6753
300,5,0.01,0.8,1.0,2.0,1.6763
300,3,0.1,0.8,1.0,2.0,1.6789
300,3,0.1,0.8,1.0,5.0,1.6791
300,7,0.01,0.8,0.0,1.0,1.6791
300,5,0.01,1.0,0.1,5.0,1.6805
300,7,0.05,1.0,0.0,5.0,1.6827
100,7,0.1,0.8,1.0,5.0,1.6837
200,7,0.1,1.0,0.0,2.0,1.6855
200,3,0.1,0.8,1.0,5.0,1.686
300,7,0.1,1.0,0.0,2.0,1.6861
200,7,0.1,0.8,1.0,5.0,1.6901
100,5,0.1,0.8,1.0,1.0,1.6911
100,5,0.05,1.0,0.1,1.0,1.6916
300,3,0.1,0.8,0.1,2.0,1.6923
300,5,0.01,1.0,1.0,5.0,1.6954
100,5,0.05,0.8,0.1,2.0,1.6968
300,5,0.05,0.8,0.1,2.0,1.697
300,7,0.1,0.8,1.0,5.0,1.6976
200,5,0.1,0.8,1.0,2.0,1.6983
300,3,0.1,0.8,0.0,5.0,1.7006
200,3,0.1,0.8,0.1,1.0,1.7038
300,5,0.1,0.8,1.0,2.0,1.7039
200,3,0.1,0.8,0.0,1.0,1.7041
200,5,0.05,0.8,0.1,2.0,1.7041
200,3,0.01,0.8,1.0,2.0,1.7053
300,3,0.01,1.0,0.1,5.0,1.7061
200,3,0.01,0.8,0.0,2.0,1.7071
300,3,0.1,0.8,1.0,1.0,1.7072
200,5,0.1,1.0,0.1,2.0,1.7088
300,3,0.1,0.8,0.1,5.0,1.7097
200,3,0.1,0.8,1.0,1.0,1.7113
300,5,0.1,1.0,0.1,2.0,1.7134
200,3,0.01,0.8,0.1,2.0,1.7135
300,3,0.01,1.0,0.0,5.0,1.7142
300,5,0.01,1.0,1.0,2.0,1.7158
300,5,0.01,1.0,0.0,5.0,1.7166
300,7,0.01,0.8,1.0,1.0,1.7173
200,3,0.1,0.8,0.1,5.0,1.7174
300,5,0.1,0.8,1.0,1.0,1.7193
200,5,0.01,0.8,0.1,2.0,1.7213
300,7,0.01,0.8,0.0,2.0,1.7219
100,5,0.05,1.0,0.0,2.0,1.7221
300,7,0.01,0.8,0.1,1.0,1.7246
200,5,0.1,0.8,1.0,1.0,1.7247
200,7,0.1,1.0,0.1,2.0,1.7255
300,7,0.1,1.0,0.1,2.0,1.7255
100,7,0.1,1.0,0.1,2.0,1.7257
100,5,0.05,1.0,0.1,2.0,1.7259
200,5,0.01,1.0,1.0,5.0,1.7263
200,3,0.01,1.0,1.0,5.0,1.7265
300,7,0.05,1.0,1.0,1.0,1.7265
200,7,0.05,1.0,1.0,1.0,1.7304
300,7,0.01,0.8,0.1,2.0,1.7357
100,7,0.05,1.0,1.0,1.0,1.7365
200,5,0.05,1.0,0.0,2.0,1.7371
300,5,0.05,1.0,0.0,2.0,1.7371
200,5,0.01,0.8,1.0,1.0,1.7432
200,5,0.01,0.8,1.0,2.0,1.7467
200,3,0.01,0.8,1.0,5.0,1.7507
200,3,0.01,1.0,0.1,2.0,1.7514
100,5,0.1,1.0,0.0,2.0,1.7536
200,3,0.01,1.0,1.0,2.0,1.7549
200,3,0.01,1.0,0.0,2.0,1.7559
300,3,0.1,0.8,0.1,1.0,1.7585
300,3,0.1,0.8,0.0,1.0,1.7591
200,3,0.1,0.8,0.0,2.0,1.7601
300,7,0.01,0.8,1.0,2.0,1.7603
200,3,0.01,0.8,0.0,5.0,1.7604
300,7,0.1,1.0,0.1,5.0,1.7622
200,7,0.01,0.8,0.0,1.0,1.7623
200,5,0.01,0.8,0.0,2.0,1.7627
300,5,0.01,0.8,0.0,5.0,1.7648
300,5,0.01,1.0,1.0,1.0,1.765
200,5,0.01,1.0,0.1,5.0,1.7667
200,7,0.1,1.0,0.1,5.0,1.7679
200,3,0.01,1.0,0.1,5.0,1.7694
300,3,0.1,0.8,0.0,2.0,1.7725
200,3,0.01,0.8,0.1,5.0,1.7728
300,5,0.01,1.0,0.1,2.0,1.7779
300,5,0.01,0.8,0.1,5.0,1.7782
200,5,0.05,1.0,0.1,2.0,1.7784
300,5,0.01,1.0,0.0,1.0,1.7787
200,3,0.01,1.0,0.0,5.0,1.7787
200,5,0.1,1.0,0.0,2.0,1.7868
200,5,0.01,1.0,1.0,2.0,1.7912
300,7,0.01,1.0,1.0,1.0,1.7925
100,5,0.01,0.8,0.0,1.0,1.7927
300,5,0.1,1.0,0.0,2.0,1.7939
200,7,0.01,0.8,1.0,1.0,1.7961
100,5,0.01,0.8,0.1,1.0,1.7966
100,7,0.1,1.0,0.0,5.0,1.7977
300,5,0.01,0.8,1.0,5.0,1.8014
200,7,0.01,0.8,0.1,1.0,1.8017
300,7,0.05,1.0,1.0,5.0,1.802
200,5,0.01,0.8,0.0,5.0,1.8033
200,5,0.01,1.0,0.0,5.0,1.8034
100,3,0.01,0.8,0.0,1.0,1.805
200,7,0.01,1.0,1.0,1.0,1.8084
100,7,0.1,1.0,1.0,2.0,1.8096
200,7,0.01,0.8,0.0,2.0,1.8113
200,7,0.1,1.0,1.0,2.0,1.8116
300,7,0.1,1.0,1.0,2.0,1.8116
300,7,0.01,0.8,0.0,5.0,1.8132
300,5,0.05,1.0,0.1,2.0,1.8154
200,5,0.01,0.8,0.1,5.0,1.817
200,7,0.01,0.8,0.1,2.0,1.8193
100,3,0.01,0.8,0.1,1.0,1.8196
300,7,0.01,0.8,0.1,5.0,1.8202
100,5,0.01,0.8,1.0,1.0,1.8219
100,5,0.01,0.8,0.1,2.0,1.8231
300,5,0.01,1.0,0.1,1.0,1.8232
200,5,0.01,0.8,1.0,5.0,1.8233
200,7,0.01,0.8,1.0,2.0,1.8238
100,5,0.01,0.8,1.0,2.0,1.8296
